Generation: 58 | 0.306843 -0.191034  | Fitness: -1.99997
Generation: 59 | 0.306843 -0.191034  | Fitness: -1.99997
Generation: 60 | -1.45 -1.45721  | Fitness: -1.99994
Generation: 61 | -1.45 -1.45721  | Fitness: -1.99994
Generation: 62 | 0.27642 -0.212452  | Fitness: -1.99225
Generation: 63 | 0.27642 -0.212452  | Fitness: -1.99225
Generation: 64 | 0.276423 -0.212447  | Fitness: -1.99224
Generation: 65 | -1.63578 -1.51098  | Fitness: -1.9999
Generation: 66 | -2.17165 -1.77357  | Fitness: -1.99506
Generation: 67 | 0.279207 -0.20107  | Fitness: -1.98658
Generation: 68 | -2.0954 -1.72112  | Fitness: -1.99034
Generation: 69 | 0.477744 0.477528  | Fitness: -1.99961
Generation: 70 | 0.480805 0.477285  | Fitness: -1.99928
Generation: 71 | 0.480384 0.476008  | Fitness: -2
Generation: 72 | 0.480384 0.476008  | Fitness: -2
Generation: 73 | 0.47981 0.475382  | Fitness: -1.99956
Generation: 74 | 0.476484 0.476078  | Fitness: -1.99589
Generation: 75 | 0.476484 0.476078  | Fitness: -1.99589
Generation: 76 | 0.454432 0.498925  | Fitness: -1.99883
Generation: 77 | -0.263326 -0.261796  | Fitness: -1.99621
Generation: 78 | -0.487595 -0.471288  | Fitness: -1.99823
Generation: 79 | -0.487595 -0.471288  | Fitness: -1.99823
Generation: 80 | -0.25319 -0.270475  | Fitness: -1.99689
Generation: 81 | -0.245552 -0.269001  | Fitness: -1.99984
Generation: 82 | -1.89997 -1.56989  | Fitness: -1.99966
Generation: 83 | -0.258385 -0.257229  | Fitness: -1.99977
Generation: 84 | -0.258385 -0.257229  | Fitness: -1.99977
Generation: 85 | -0.258385 -0.257229  | Fitness: -1.99977
Generation: 86 | 0.353944 -0.000995759  | Fitness: -1.99701
Generation: 87 | -1.82562 -1.51925  | Fitness: -1.99936
Generation: 88 | 0.379388 0.0364117  | Fitness: -1.98254
Generation: 89 | 0.365205 0.0274954  | Fitness: -1.9993
Generation: 90 | -1.5303 -0.525927  | Fitness: -1.99987
Generation: 91 | 0.358344 0.0223208  | Fitness: -1.99953
Generation: 92 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 93 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 94 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 95 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 96 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 97 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 98 | 0.358827 0.0291843  | Fitness: -1.99976
Generation: 99 | 0.35827 0.028746  | Fitness: -1.99963
Generation: 100 | 0.35827 0.028746  | Fitness: -1.99963
Generation: 101 | 0.359517 0.035326  | Fitness: -1.99995
