Generation: 68 | 0.298126 -0.205132  | Fitness: -1.99999
Generation: 69 | -2.51575 -1.52361  | Fitness: -2
Generation: 70 | -2.51575 -1.52361  | Fitness: -2
Generation: 71 | 0.123146 -0.338943  | Fitness: -1.99987
Generation: 72 | 0.123539 -0.338574  | Fitness: -1.99984
Generation: 73 | 0.123401 -0.338402  | Fitness: -1.9998
Generation: 74 | 0.124077 -0.338007  | Fitness: -1.99977
Generation: 75 | 0.124716 -0.341944  | Fitness: -1.99988
Generation: 76 | 0.124441 -0.340322  | Fitness: -2
Generation: 77 | 0.124441 -0.340322  | Fitness: -2
Generation: 78 | 0.123273 -0.340472  | Fitness: -2
Generation: 79 | 0.123273 -0.340472  | Fitness: -2
Generation: 80 | -0.451914 -0.502096  | Fitness: -1.99965
Generation: 81 | -2.38024 -2.07396  | Fitness: -1.99854
Generation: 82 | 0.0874793 -0.341001  | Fitness: -1.99554
Generation: 83 | -0.780084 -0.27821  | Fitness: -1.99729
Generation: 84 | 0.0889276 -0.337789  | Fitness: -1.99296
Generation: 85 | -1.62252 -0.302042  | Fitness: -1.99773
Generation: 86 | -2.26233 -1.98555  | Fitness: -1.99914
Generation: 87 | -2.26233 -1.98555  | Fitness: -1.99914
Generation: 88 | -2.26233 -1.98555  | Fitness: -1.99914
Generation: 89 | -0.475628 -0.48397  | Fitness: -1.99727
Generation: 90 | 0.00525777 0.369441  | Fitness: -1.99762
Generation: 91 | 0.00699824 0.369513  | Fitness: -1.99756
Generation: 92 | 0.0893229 0.344605  | Fitness: -1.99827
Generation: 93 | -1.58434 -0.463401  | Fitness: -1.99999
Generation: 94 | -1.58434 -0.463401  | Fitness: -1.99999
Generation: 95 | -1.58434 -0.463401  | Fitness: -1.99999
Generation: 96 | 0.0962605 0.348822  | Fitness: -1.99999
Generation: 97 | 0.0962605 0.348822  | Fitness: -1.99999
Generation: 98 | 0.0940126 0.353584  | Fitness: -1.99943
Generation: 99 | 0.0240582 0.358847  | Fitness: -1.99969
Generation: 100 | 0.0602974 0.355134  | Fitness: -1.9998
Generation: 101 | 0.0836359 0.353091  | Fitness: -1.99999
Generation: 102 | 0.0836359 0.353091  | Fitness: -1.99999
Generation: 103 | 0.0824448 0.352658  | Fitness: -2
Generation: 104 | 0.0824448 0.352658  | Fitness: -2
Generation: 105 | 0.0824448 0.352658  | Fitness: -2
Generation: 106 | 0.082379 0.352604  | Fitness: -2
Generation: 107 | 0.0857703 0.351954  | Fitness: -2
Generation: 108 | 0.0854507 0.35192  | Fitness: -2
Generation: 109 | 0.0854507 0.35192  | Fitness: -2
Generation: 110 | 0.0854878 0.351956  | Fitness: -2
Generation: 111 | 0.085271 0.351954  | Fitness: -2
Generation: 112 | 0.0845204 0.351458  | Fitness: -1.99997
Generation: 113 | 0.0845204 0.351458  | Fitness: -1.99997
Generation: 114 | 0.0845204 0.351458  | Fitness: -1.99997
Generation: 115 | 0.0845023 0.351438  | Fitness: -1.99997
Generation: 116 | 0.0835093 0.349797  | Fitness: -1.99968
Generation: 117 | 0.0835093 0.349797  | Fitness: -1.99968
Generation: 118 | 0.083517 0.350176  | Fitness: -1.99976
